0	1	2	3	4	5	6
ADAM22	0	0	0	0	0	0	0
ADAM23	0	0	0	0	0	0	0
ADAM28	0	0	0	0	0	0	0
ADAM8	0	0	0	0	0	0	0
ADAM9	0	0	0	0	0	0	0
ADAMTS10	0	0	0	0	0	0	0
ADAMTS13	0	0	0	0	0	0	0
ADAMTS17	0	0	0	0	0	0	0
ADAMTS4	0	0	0	0	0	0	0
ADAMTS6	0	0	0	0	0	0	0
ADAMTS7	0	0	0	0	0	0	0
ADAMTSL2	0	0	0	0	0	0	0
ADAMTSL4	0	0	0	0	0	0	0
ADAMTSL5	0	0	0	0	0	0	0
ADAP1	0	0	0	0	0	0	0
ADAP2	0	0	0	0	0	0	0
ADAR	0	0	0	0	0	0	0
ADARB1	0	0	0	0	0	0	0
ADARB2	0	0	0	0	0	0	0
ADAT1	0	0	0	0	0	0	0
ADAT2	0	0	0	0	0	0	0
ADAT3	0	0	0	0	0	0	0
ADCK1	0	0	0	0	0	0	0
ADCK2	0	0	0	0	0	0	0
ADCK3	0	0	0	0	0	0	0
ADCK4	0	0	0	0	0	0	0
ADCK5	0	0	0	0	0	0	0
ADCY10	0	0	0	0	0	0	0
ADCY3	0	0	0	0	0	0	0
ADCY4	0	0	0	0	0	0	0
ADCY7	0	0	0	0	0	0	0
ADCY9	0	0	0	0	0	0	0
ADD1	0	0	0	0	0	0	0
ADD2	0	0	0	0	0	0	0
ADD3	0	0	0	0	0	0	0
ADGRA3	0	0	0	0	0	0	0
ADGRB1	0	0	0	0	0	0	0
ADGRB2	0	0	0	0	0	0	0
ADGRE1	0	0	0	0	0	0	0
ADGRE2	0	0	0	0	0	0	0
ADGRE3	0	0	0	0	0	0	0
ADGRE5	0	0	0	0	0	0	0
ADGRF3	0	0	0	0	0	0	0
ADGRG1	0	0	0	0	0	0	0
ADGRG2	0	0	0	0	0	0	0
ADGRG5	0	0	0	0	0	0	0
ADGRL1	0	0	0	0	0	0	0
ADH5	0	0	0	0	0	0	0
ADHFE1	0	0	0	0	0	0	0
ADI1	0	0	0	0	0	0	0
ADIPOR1	0	0	0	0	0	0	0
ADIPOR2	0	0	0	0	0	0	0
ADIRF	0	0	0	0	0	0	0
ADK	0	0	0	0	0	0	0
ADM	0	0	0	0	0	0	0
ADM2	0	0	0	0	0	0	0
ADM5	0	0	0	0	0	0	0
ADNP	0	0	0	0	0	0	0
ADNP-AS1	0	0	0	0	0	0	0
ADNP2	0	0	0	0	0	0	0
ADO	0	0	0	0	0	0	0
ADORA2A	0	0	0	0	0	0	0
ADORA2A-AS1	0	0	0	0	0	0	0
ADPGK	0	0	0	0	0	0	0
ADPGK-AS1	0	0	0	0	0	0	0
ADPRH	0	0	0	0	0	0	0
ADPRHL1	0	0	0	0	0	0	0
ADPRHL2	0	0	0	0	0	0	0
ADPRM	0	0	0	0	0	0	0
ADRA2B	0	0	0	0	0	0	0
ADRB2	0	0	0	0	0	0	0
ADRBK1	0	0	0	0	0	0	0
ADRBK2	0	0	0	0	0	0	0
ADRM1	0	0	0	0	0	0	0
ADSL	0	0	0	0	0	0	0
ADSS	0	0	0	0	0	0	0
ADSSL1	0	0	0	0	0	0	0
ADTRP	0	0	0	0	0	0	0
AE000662.92	0	0	0	0	0	0	0
AE000662.93	0	0	0	0	0	0	0
AEBP1	0	0	0	0	0	0	0
AEBP2	0	0	0	0	0	0	0
AEN	0	0	0	0	0	0	0
AES	0	0	0	0	0	0	0
AF001548.5	0	0	0	0	0	0	0
AF011889.2	0	0	0	0	0	0	0
AF011889.5	0	0	0	0	0	0	0
AF127936.9	0	0	0	0	0	0	0
AF129408.17	0	0	0	0	0	0	0
AF131216.1	0	0	0	0	0	0	0
AF131217.1	0	0	0	0	0	0	0
AF196972.9	0	0	0	0	0	0	0
AF213884.2	0	0	0	0	0	0	0
AFAP1	0	0	0	0	0	0	0
AFAP1L2	0	0	0	0	0	0	0
AFF1	0	0	0	0	0	0	0
AFF3	0	0	0	0	0	0	0
AFF4	0	0	0	0	0	0	0
AFG3L2	0	0	0	0	0	0	0
AFMID	0	0	0	0	0	0	0
AFTPH	0	0	0	0	0	0	0
AGA	0	0	0	0	0	0	0
AGAP1	0	0	0	0	0	0	0
AGAP2	0	0	0	0	0	0	0
AGAP3	0	0	0	0	0	0	0
AGAP4	0	0	0	0	0	0	0
AGAP5	0	0	0	0	0	0	0
AGAP6	0	0	0	0	0	0	0
AGAP9	0	0	0	0	0	0	0
AGBL2	0	0	0	0	0	0	0
AGBL3	0	0	0	0	0	0	0
AGBL5	0	0	0	0	0	0	0
AGER	0	0	0	0	0	0	0
AGFG1	0	0	0	0	0	0	0
AGFG2	0	0	0	0	0	0	0
AGGF1	0	0	0	0	0	0	0
AGK	0	0	0	0	0	0	0
AGL	0	0	0	0	0	0	0
AGMAT	0	0	0	0	0	0	0
AGO1	0	0	0	0	0	0	0
AGO2	0	0	0	0	0	0	0
AGO3	0	0	0	0	0	0	0
AGO4	0	0	0	0	0	0	0
AGPAT1	0	0	0	0	0	0	0
